Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
mantener privacidad,mantener privacidad,Mantener privacidad,457,Garantizar la privacidad de los usuarios en los servicios
mantener privacidad usuarios servicios,mantener privacidad usuarios servicios,Mantener privacidad usuarios servicios,457,Garantizar la privacidad de los usuarios en los servicios
crear entornos 3d,crear entornos d,Crear entornos d,458,Diseñar entornos digitales
tecnologías emergentes,reconocer tecnologías emergentes,Reconocer tecnologías emergentes,459,Identificar y comprender tecnologías emergentes y verdes
tecnologías verdes,reconocer tecnologías verdes,Reconocer tecnologías verdes,459,Identificar y comprender tecnologías emergentes y verdes
métodos agrimensura,métodos demostrar conocimientos en agrimensura,Métodos demostrar conocimientos en agrimensura,460,Aplicar conocimientos en agrimensura
operar herramientas agrimensura,operar herramientas demostrar conocimientos en agrimensura,Operar herramientas demostrar conocimientos en agrimensura,460,Aplicar conocimientos en agrimensura
agrimensura,demostrar conocimientos en agrimensura,Demostrar conocimientos en agrimensura,460,Aplicar conocimientos en agrimensura
realizar cálculos agrimensura,cálculos demostrar conocimientos en agrimensura,Cálculos demostrar conocimientos en agrimensura,460,Aplicar conocimientos en agrimensura
utilizar técnicas declamación,utilizar técnicas declamación,Utilizar técnicas declamación,461,Dominar técnicas de oratoria y dicción
técnicas dicción,aplicar técnicas de dicción,Aplicar técnicas de dicción,461,Dominar técnicas de oratoria y dicción
tener buena dicción,tener buena dicción,Tener buena dicción,461,Dominar técnicas de oratoria y dicción
analizar resultados laboratorio,analizar resultados laboratorio,Analizar resultados laboratorio,462,Analizar y documentar resultados de análisis biomédicos
validar resultados análisis biomédicos,validar resultados análisis biomédicos,Validar resultados análisis biomédicos,462,Analizar y documentar resultados de análisis biomédicos
informar resultados análisis,informar resultados análisis,Informar resultados análisis,462,Analizar y documentar resultados de análisis biomédicos
documentar resultados análisis,documentar resultados análisis,Documentar resultados análisis,462,Analizar y documentar resultados de análisis biomédicos
gestionar control seguridad,gestionar control seguridad,Gestionar control seguridad,463,Gestionar y aplicar controles de seguridad
gestionar eficientemente controles seguridad,gestionar eficientemente controles seguridad,Gestionar eficientemente controles seguridad,463,Gestionar y aplicar controles de seguridad
aplicar gestión seguridad,aplicar gestión seguridad,Aplicar gestión seguridad,463,Gestionar y aplicar controles de seguridad
realizar controles seguridad,controles seguridad,Realizar controles seguridad,463,Gestionar y aplicar controles de seguridad
gestionar seguridad sistema,gestionar seguridad,Gestionar seguridad sistema,463,Gestionar y aplicar controles de seguridad
gestionar equipo encargado seguridad,gestionar equipo encargado seguridad,Gestionar equipo encargado seguridad,464,Gestionar equipos de seguridad y transporte
manejar equipo seguridad,manejar equipo seguridad,Manejar equipo seguridad,464,Gestionar equipos de seguridad y transporte
manejo equipo transportes,manejo equipo transportes,Manejo equipo transportes,464,Gestionar equipos de seguridad y transporte
paneles seguridad,manejar paneles de seguridad,Manejar paneles de seguridad,464,Gestionar equipos de seguridad y transporte
emprendimiento,fomentar el emprendimiento,Fomentar el emprendimiento,465,Impulsar el desarrollo empresarial y social
emprendimiento social,fomentar el emprendimiento social,Fomentar el emprendimiento social,465,Impulsar el desarrollo empresarial y social
incubación empresas,fomentar incubación de empresas,Fomentar incubación de empresas,465,Impulsar el desarrollo empresarial y social
analizar características productos alimenticios recibirlos,analizar características productos alimenticios recibirlos,Analizar características productos alimenticios recibirlos,466,Evaluar y analizar la calidad de productos alimenticios
evaluar características calidad productos alimenticios,evaluar características calidad productos alimenticios,Evaluar características calidad productos alimenticios,466,Evaluar y analizar la calidad de productos alimenticios
realizar evaluación sensorial productos alimenticios,evaluación sensorial productos alimenticios,Realizar evaluación sensorial productos alimenticios,466,Evaluar y analizar la calidad de productos alimenticios
mantener bases datos almacén logística,mantener bases datos almacén demostrar conocimientos sobre lógistica,Mantener bases datos almacén demostrar conocimientos sobre lógistica,467,Gestionar bases de datos y logística de almacén
aplicar capas color,aplicar capas color,Aplicar capas color,468,Realizar técnicas de edición gráfica
aplicar máscara opaca,aplicar máscara opaca,Aplicar máscara opaca,468,Realizar técnicas de edición gráfica
dirigir equipo servicios hostelería,dirigir equipo servicios hostelería,Dirigir equipo servicios hostelería,469,Coordinar operaciones en hostelería y restauración
trabajar equipo hostelería,trabajar equipo hostelería,Trabajar equipo hostelería,469,Coordinar operaciones en hostelería y restauración
trabajar equipo restauración,trabajar equipo restauración,Trabajar equipo restauración,469,Coordinar operaciones en hostelería y restauración
adquirir productos hostelería,adquirir productos hostelería,Adquirir productos hostelería,469,Coordinar operaciones en hostelería y restauración
dar seguimiento acciones tomadas resultado inspecciones instalaciones ferroviarias,dar seguimiento acciones tomadas resultado inspecciones instalaciones ferroviarias,Dar seguimiento acciones tomadas resultado inspecciones instalaciones ferroviarias,470,Inspeccionar y dar seguimiento a instalaciones ferroviarias
realizar inspección ocular vías férreas,inspección ocular vías férreas,Realizar inspección ocular vías férreas,470,Inspeccionar y dar seguimiento a instalaciones ferroviarias
realizar inspecciones vías ferroviarias,inspecciones vías ferroviarias,Realizar inspecciones vías ferroviarias,470,Inspeccionar y dar seguimiento a instalaciones ferroviarias
técnicas esterilización,aplicar tecnicas de estirilización,Aplicar tecnicas de estirilización,471,Esterilizar y reempaquetar equipos médicos
utilizar equipo técnico esterilización,utilizar equipo técnico esterilización,Utilizar equipo técnico esterilización,471,Esterilizar y reempaquetar equipos médicos
esterilizar material médico,esterilizar material médico,Esterilizar material médico,471,Esterilizar y reempaquetar equipos médicos
reempaquetar equipos médicos tras esterilización,reempaquetar equipos médicos tras esterilización,Reempaquetar equipos médicos tras esterilización,471,Esterilizar y reempaquetar equipos médicos
entregar historial médico,entregar historial médico,Entregar historial médico,472,Gestionar información y medicación médica
facilitar información médica,facilitar información médica,Facilitar información médica,472,Gestionar información y medicación médica
transcribir información médica,transcribir información médica,Transcribir información médica,472,Gestionar información y medicación médica
transferir información médica,transferir información médica,Transferir información médica,472,Gestionar información y medicación médica
transferir medicación,transferir medicación,Transferir medicación,472,Gestionar información y medicación médica
ejecutar cálculos matemáticos analíticos,ejecutar cálculos matemáticos analíticos,Ejecutar cálculos matemáticos analíticos,473,Realizar cálculos en diversos contextos profesionales
realizar cálculos,realizar cálculos,Realizar cálculos,473,Realizar cálculos en diversos contextos profesionales
ofrecer ayuda realizar cálculos financieros,ofrecer ayuda cálculos financieros,Ofrecer ayuda realizar cálculos financieros,473,Realizar cálculos en diversos contextos profesionales
realizar cálculos ámbito hostelería,cálculos ámbito hostelería,Realizar cálculos ámbito hostelería,473,Realizar cálculos en diversos contextos profesionales
realizar cálculos navegación,cálculos navegación,Realizar cálculos navegación,473,Realizar cálculos en diversos contextos profesionales
encargar suministros eléctricos,encargar suministros eléctricos,Encargar suministros eléctricos,474,Gestionar suministros eléctricos
gestionar recepción suministros eléctricos,gestionar recepción suministros eléctricos,Gestionar recepción suministros eléctricos,474,Gestionar suministros eléctricos
java 2 platform enterprise edition,java platform enterprise edition,Java 2 platform enterprise edition,475,Desarrollar aplicaciones con java enterprise
java 2 platform standard edition,java platform standard edition,Java 2 platform standard edition,475,Desarrollar aplicaciones con java enterprise
java enterprise edition,java enterprise edition,Java enterprise edition,475,Desarrollar aplicaciones con java enterprise
participar licitaciones públicas,participar licitaciones públicas,Participar licitaciones públicas,476,Gestionar procesos de licitación pública
realizar licitación,realizar licitación,Realizar licitación,476,Gestionar procesos de licitación pública
oferta pública,realizar oferta pública,Realizar oferta pública,476,Gestionar procesos de licitación pública
legislación materia seguridad minera,legislación materia seguridad minera,Legislación materia seguridad minera,477,Supervisar cumplimiento de seguridad en minería
controlar cumplimiento condiciones seguridad minas,controlar cumplimiento condiciones seguridad minas,Controlar cumplimiento condiciones seguridad minas,477,Supervisar cumplimiento de seguridad en minería
investigar tecnologías teledetección,investigar tecnologías teledetección,Investigar tecnologías teledetección,478,Implementar técnicas de teledetección y fotogrametría
técnicas teledetección,aplicar técnicas de teledetección,Aplicar técnicas de teledetección,478,Implementar técnicas de teledetección y fotogrametría
utilizar equipos teledetección,utilizar equipos teledetección,Utilizar equipos teledetección,478,Implementar técnicas de teledetección y fotogrametría
fotogrametría,aplicar conocimientos de fotogrametría,Aplicar conocimientos de fotogrametría,478,Implementar técnicas de teledetección y fotogrametría
llevar cabo contratación servicios,llevar cabo contratación servicios,Llevar cabo contratación servicios,479,Gestionar procesos de contratación de personal
contratar personal,contratar personal,Contratar personal,479,Gestionar procesos de contratación de personal
contratar personal artístico,contratar personal artístico,Contratar personal artístico,479,Gestionar procesos de contratación de personal
contratar personal nuevo,contratar personal nuevo,Contratar personal nuevo,479,Gestionar procesos de contratación de personal
contratar recursos humanos,contratar recursos humanos,Contratar recursos humanos,479,Gestionar procesos de contratación de personal
contratar trabajadores empresa,contratar trabajadores empresa,Contratar trabajadores empresa,479,Gestionar procesos de contratación de personal
diseñar itinerarios turísticos personalizados,diseñar itinerarios turísticos personalizados,Diseñar itinerarios turísticos personalizados,480,Planificar viajes personalizados
diseño paisajista,reconocer diseños de paisajismo,Reconocer diseños de paisajismo,481,Evaluar diseños de paisajismo
principios paisajismo,identificar diseños de paisajismo,Identificar diseños de paisajismo,481,Evaluar diseños de paisajismo
informar exámenes radiológicos,informar exámenes radiológicos,Informar exámenes radiológicos,482,Realizar procedimientos y análisis en radiología
aplicar ciencias médicas radiológicas,aplicar ciencias médicas radiológicas,Aplicar ciencias médicas radiológicas,482,Realizar procedimientos y análisis en radiología
procedimientos radiológicos,aplicar procedimientos radiológicos,Aplicar procedimientos radiológicos,482,Realizar procedimientos y análisis en radiología
preparar personas,preparar personas,Preparar personas,483,Formar y capacitar profesionales
terminología médica,utilizar terminología específica del aparejo de elevación y de los sistemas de anclaje para garantizar la seguridad en operaciones de carga médica,Utilizar terminología específica  médica,484,Utilizar terminología específica en campos médicos y veterinarios
terminología veterinaria,utilizar terminología específica del aparejo de elevación y de los sistemas de anclaje para garantizar la seguridad en operaciones de carga veterinaria,Utilizar terminología específica  veterinaria,484,Utilizar terminología específica en campos médicos y veterinarios
terminología relacionada quiropraxia,utilizar terminología específica del aparejo de elevación y de los sistemas de anclaje para garantizar la seguridad en operaciones de carga relacionada quiropraxia,Utilizar terminología específica  relacionada quiropraxia,484,Utilizar terminología específica en campos médicos y veterinarios
examinar documentos oficiales,examinar documentos oficiales,Examinar documentos oficiales,485,Gestionar documentación oficial y hipotecaria
expedir documentos oficiales,expedir documentos oficiales,Expedir documentos oficiales,485,Gestionar documentación oficial y hipotecaria
autentificar documentos,autentificar documentos,Autentificar documentos,485,Gestionar documentación oficial y hipotecaria
examinar documentos préstamos hipotecarios,examinar documentos préstamos hipotecarios,Examinar documentos préstamos hipotecarios,485,Gestionar documentación oficial y hipotecaria
procesar mezclas látex,procesar mezclas látex,Procesar mezclas látex,486,Producir mezclas de látex
mezclar ingredientes látex,mezclar ingredientes látex,Mezclar ingredientes látex,486,Producir mezclas de látex
manejar herramientas manuales,manejar herramientas manuales,Manejar herramientas manuales,487,Manejar maquinaria y herramientas de precisión en procesos metalúrgicos
manejar máquinas herramienta,manejar máquinas herramienta,Manejar máquinas herramienta,487,Manejar maquinaria y herramientas de precisión en procesos metalúrgicos
manejar máquinas nivelación,manejar máquinas nivelación,Manejar máquinas nivelación,487,Manejar maquinaria y herramientas de precisión en procesos metalúrgicos
manejar máquinas precisión,manejar máquinas precisión,Manejar máquinas precisión,487,Manejar maquinaria y herramientas de precisión en procesos metalúrgicos
manejar máquinas procesar metales,manejar máquinas procesar metales,Manejar máquinas procesar metales,487,Manejar maquinaria y herramientas de precisión en procesos metalúrgicos
logística militar,demostrar conocimientos sobre lógistica militar,Demostrar conocimientos sobre lógistica militar,488,Supervisar y demostrar conocimientos en logística diversa
logística medios pago internet,demostrar conocimientos sobre lógistica medios pago internet,Demostrar conocimientos sobre lógistica medios pago internet,488,Supervisar y demostrar conocimientos en logística diversa
logística,demostrar conocimientos sobre lógistica,Demostrar conocimientos sobre lógistica,488,Supervisar y demostrar conocimientos en logística diversa
logística ecológica,demostrar conocimientos sobre lógistica ecológica,Demostrar conocimientos sobre lógistica ecológica,488,Supervisar y demostrar conocimientos en logística diversa
logística transporte multimodal,demostrar conocimientos sobre lógistica transporte multimodal,Demostrar conocimientos sobre lógistica transporte multimodal,488,Supervisar y demostrar conocimientos en logística diversa
supervisar logística productos terminados,supervisar demostrar conocimientos sobre lógistica productos terminados,Supervisar demostrar conocimientos sobre lógistica productos terminados,488,Supervisar y demostrar conocimientos en logística diversa
diseñar operaciones posteriores curtido,diseñar operaciones posteriores curtido,Diseñar operaciones posteriores curtido,489,Gestionar procesos de curtido y acabado
gestionar operaciones curtido,gestionar operaciones curtido,Gestionar operaciones curtido,489,Gestionar procesos de curtido y acabado
llevar cabo operaciones posteriores curtido,llevar cabo operaciones posteriores curtido,Llevar cabo operaciones posteriores curtido,489,Gestionar procesos de curtido y acabado
planificar operaciones acabado curtido,planificar tareas operaciones acabado curtido,Planificar tareas operaciones acabado curtido,489,Gestionar procesos de curtido y acabado
proceso curtido,realizar proceso de curtido,Realizar proceso de curtido,489,Gestionar procesos de curtido y acabado
evaluar empleados,evaluar empleados,Evaluar empleados,490,Evaluar competencias laborales
evaluar niveles capacidad empleados,evaluar niveles capacidad empleados,Evaluar niveles capacidad empleados,490,Evaluar competencias laborales
evaluar trabajo empleados,evaluar trabajo empleados,Evaluar trabajo empleados,490,Evaluar competencias laborales
evaluar candidatos,evaluar candidatos,Evaluar candidatos,490,Evaluar competencias laborales
fabricación accesorios metálicos puertas,fabricación accesorios metálicos puertas,Fabricación accesorios metálicos puertas,491,Fabricar accesorios y puertas metálicas
fabricación puertas metálicas,fabricación puertas metálicas,Fabricación puertas metálicas,491,Fabricar accesorios y puertas metálicas
facilitar acceso información,facilitar acceso información,Facilitar acceso información,492,Facilitar información y acceso a servicios e instalaciones
facilitar información,facilitar información,Facilitar información,492,Facilitar información y acceso a servicios e instalaciones
facilitar información servicios instalaciones,facilitar información servicios instalaciones,Facilitar información servicios instalaciones,492,Facilitar información y acceso a servicios e instalaciones
educar gestión emergencias,educar gestión emergencias,Educar gestión emergencias,493,Gestionar emergencias médicas
gestionar procedimientos emergencia,gestionar procedimientos emergencia,Gestionar procedimientos emergencia,493,Gestionar emergencias médicas
gestionar situaciones atención médica urgente,gestionar situaciones atención médica urgente,Gestionar situaciones atención médica urgente,493,Gestionar emergencias médicas
procedimientos ingresos hospitalarios emergencia,procedimientos ingresos hospitalarios emergencia,Procedimientos ingresos hospitalarios emergencia,493,Gestionar emergencias médicas
emplear guiones gráficos,emplear guiones gráficos,Emplear guiones gráficos,494,Desarrollar guiones gráficos
presentar guiones gráficos,presentar guiones gráficos,Presentar guiones gráficos,494,Desarrollar guiones gráficos
crear guiones gráficos,crear guiones gráficos,Crear guiones gráficos,494,Desarrollar guiones gráficos
crear estructuras musicales,crear estructuras musicales,Crear estructuras musicales,495,Componer música y estructuras sonoras
crear formas musicales,crear formas musicales,Crear formas musicales,495,Componer música y estructuras sonoras
estructurar banda sonora,estructurar banda sonora,Estructurar banda sonora,495,Componer música y estructuras sonoras
analizar características café,analizar características café,Analizar características café,496,Evaluar características del café
características café,describir características del café,Describir características del café,496,Evaluar características del café
medir vibraciones generadores eléctricos,medir vibraciones generadores eléctricos,Medir vibraciones generadores eléctricos,497,Evaluar condiciones de generadores eléctricos
medir parámetros generadores eléctricos,medir parámetros generadores eléctricos,Medir parámetros generadores eléctricos,497,Evaluar condiciones de generadores eléctricos
coordinar actividades pasajeros,coordinar actividades pasajeros,Coordinar actividades pasajeros,498,Gestionar servicios de atención a pasajeros
centrarse pasajeros,realizar servicio de atención a pasajeros,Realizar servicio de atención a pasajeros,498,Gestionar servicios de atención a pasajeros
recopilar información pasajeros,recopilar información pasajeros,Recopilar información pasajeros,498,Gestionar servicios de atención a pasajeros
estudiar necesidades pasajeros,estudiar necesidades pasajeros,Estudiar necesidades pasajeros,498,Gestionar servicios de atención a pasajeros
oracle relational database,oracle relational database,Oracle relational database,499,Administrar bases de datos oracle
preparar catálogos subastas,preparar catálogos subastas,Preparar catálogos subastas,500,Organizar catálogos para subastas
asesorar fragancias,asesorar fragancias,Asesorar fragancias,501,Evaluar y asesorar sobre fragancias
investigar fragancias,investigar fragancias,Investigar fragancias,501,Evaluar y asesorar sobre fragancias
gestionar proyecto artístico,gestionar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos artístico,Gestionar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos artístico,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
preparar documentos relativos proyecto construcción,preparar documentos relativos desarrollar proyectos para mejorar la eficiencia en la gestión de recursos construcción,Preparar documentos relativos desarrollar proyectos para mejorar la eficiencia en la gestión de recursos construcción,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
gestionar cambios proyecto,gestionar cambios desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Gestionar cambios desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
gestionar métricas proyecto,gestionar métricas desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Gestionar métricas desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
proyecto,desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
organizar reuniones proyecto,organizar reuniones desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Organizar reuniones desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
elaborar proyecto ley,elaborar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos ley,Elaborar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos ley,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
realizar seguimiento conformidad metodología proyecto,seguimiento conformidad metodología desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Seguimiento conformidad metodología desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
redactar documentación proyecto,redactar documentación desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Redactar documentación desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
consultar equipo acerca proyecto creativo,consultar equipo acerca desarrollar proyectos para mejorar la eficiencia en la gestión de recursos creativo,Consultar equipo acerca desarrollar proyectos para mejorar la eficiencia en la gestión de recursos creativo,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
llevar cabo actividades proyecto,llevar cabo actividades desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Llevar cabo actividades desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
mantener repositorio central proyecto,mantener repositorio central desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Mantener repositorio central desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
supervisar proyecto construcción,supervisar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos construcción,Supervisar desarrollar proyectos para mejorar la eficiencia en la gestión de recursos construcción,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
puesta servicio proyecto,puesta servicio desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Puesta servicio desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
establecer justificación económica proyecto determinado,establecer justificación económica desarrollar proyectos para mejorar la eficiencia en la gestión de recursos determinado,Establecer justificación económica desarrollar proyectos para mejorar la eficiencia en la gestión de recursos determinado,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
documentar avance proyecto,documentar avance desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Documentar avance desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
dirigir proyecto tic,dirigir desarrollar proyectos para mejorar la eficiencia en la gestión de recursos tic,Dirigir desarrollar proyectos para mejorar la eficiencia en la gestión de recursos tic,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
desarrollar calendario proyecto,desarrollar calendario desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,Desarrollar calendario desarrollar proyectos para mejorar la eficiencia en la gestión de recursos,502,Gestionar y desarrollar proyectos para mejorar la eficiencia en la gestión de recursos
derecho aeronáutico,aplicar conocimientos en derecho aeronáutico,Aplicar conocimientos en derecho aeronáutico,503,Aplicar conocimientos jurídicos especializados
derecho constitucional,aplicar conocimientos en derecho constitucional,Aplicar conocimientos en derecho constitucional,503,Aplicar conocimientos jurídicos especializados
derecho público,aplicar conocimientos en derecho público,Aplicar conocimientos en derecho público,503,Aplicar conocimientos jurídicos especializados
derecho penal,aplicar conocimientos de derecho penal,Aplicar conocimientos de derecho penal,503,Aplicar conocimientos jurídicos especializados
seleccionar materiales artísticos creación obras arte,seleccionar materiales artísticos creación obras arte,Seleccionar materiales artísticos creación obras arte,504,Seleccionar y organizar elementos para producciones y exposiciones artísticas
seleccionar obras arte exposición,seleccionar obras arte exposición,Seleccionar obras arte exposición,504,Seleccionar y organizar elementos para producciones y exposiciones artísticas
seleccionar producciones artísticas,seleccionar producciones artísticas,Seleccionar producciones artísticas,504,Seleccionar y organizar elementos para producciones y exposiciones artísticas
seleccionar temática artística,seleccionar temática artística,Seleccionar temática artística,504,Seleccionar y organizar elementos para producciones y exposiciones artísticas
inspeccionar procedimientos reciclaje,inspeccionar procedimientos reciclaje,Inspeccionar procedimientos reciclaje,505,"Revisar y evaluar procedimientos operativos en reciclaje, distribución y seguridad"
revisar procedimientos gestión distribución,revisar procedimientos gestión distribución,Revisar procedimientos gestión distribución,505,"Revisar y evaluar procedimientos operativos en reciclaje, distribución y seguridad"
evaluar ejecución procedimientos seguridad,evaluar ejecución procedimientos seguridad,Evaluar ejecución procedimientos seguridad,505,"Revisar y evaluar procedimientos operativos en reciclaje, distribución y seguridad"
revisar procedimientos seguro,revisar procedimientos seguro,Revisar procedimientos seguro,505,"Revisar y evaluar procedimientos operativos en reciclaje, distribución y seguridad"
máquinas moler,operar maquinas de moler,Operar maquinas de moler,506,Operar maquinaria de molienda
operaciones molienda,realizar operaciones de molienda,Realizar operaciones de molienda,506,Operar maquinaria de molienda
desinfectar superficies,desinfectar superficies,Desinfectar superficies,507,Realizar tareas de limpieza y desinfección
limpiar superficies,limpiar superficies,Limpiar superficies,507,Realizar tareas de limpieza y desinfección
limpiar salas,limpiar salas,Limpiar salas,507,Realizar tareas de limpieza y desinfección
cumplir procedimientos seguridad efectuar trabajos altura,cumplir procedimientos seguridad efectuar trabajos altura,Cumplir procedimientos seguridad efectuar trabajos altura,508,Implementar procedimientos de seguridad para trabajos en altura
seguir procedimientos seguridad efectuar trabajos altura,seguir procedimientos seguridad efectuar trabajos altura,Seguir procedimientos seguridad efectuar trabajos altura,508,Implementar procedimientos de seguridad para trabajos en altura
almacenar mercancías,almacenar mercancías,Almacenar mercancías,509,Gestionar mercancías en almacén
colocar mercancías estanterías,colocar mercancías estanterías,Colocar mercancías estanterías,509,Gestionar mercancías en almacén
mercancías transportadas almacenes,mercancías transportadas almacenes,Mercancías transportadas almacenes,509,Gestionar mercancías en almacén
recibir mercancías,recibir mercancías,Recibir mercancías,509,Gestionar mercancías en almacén
practicar formas tratamiento terapia musical,practicar formas tratamiento terapia musical,Practicar formas tratamiento terapia musical,510,Implementar terapias musicales
preparar repertorio sesiones musicoterapia,preparar repertorio sesiones musicoterapia,Preparar repertorio sesiones musicoterapia,510,Implementar terapias musicales
mantener paisajes,mantener paisajes,Mantener paisajes,511,Gestionar y mejorar paisajes
mejorar paisajes,mejorar paisajes,Mejorar paisajes,511,Gestionar y mejorar paisajes
aplicar ingeniería inversa,aplicar ingeniería inversa,Aplicar ingeniería inversa,512,Realizar ingeniería inversa
ingeniería inversa,aplicar ingenieria inversa,Aplicar ingenieria inversa,512,Realizar ingeniería inversa
embalar equipos electrónicos,embalar equipos electrónicos,Embalar equipos electrónicos,513,Mantener y embalar equipos electrónicos y eléctricos
mantener equipos electrónicos,mantener equipos electrónicos,Mantener equipos electrónicos,513,Mantener y embalar equipos electrónicos y eléctricos
mantener sistemas electrónicos,mantener sistemas electrónicos,Mantener sistemas electrónicos,513,Mantener y embalar equipos electrónicos y eléctricos
mantener equipo eléctrico,mantener equipo eléctrico,Mantener equipo eléctrico,513,Mantener y embalar equipos electrónicos y eléctricos
ayudar usuarios servicios sociales discapacidades físicas,ayudar usuarios servicios sociales discapacidades físicas,Ayudar usuarios servicios sociales discapacidades físicas,514,Asistir en servicios sociales para usuarios con discapacidades y necesidades específicas
ayudar usuarios servicios sociales administrar asuntos financieros,ayudar usuarios servicios sociales administrar asuntos financieros,Ayudar usuarios servicios sociales administrar asuntos financieros,514,Asistir en servicios sociales para usuarios con discapacidades y necesidades específicas
ayudar usuarios servicios sociales desarrollar capacidades,ayudar usuarios servicios sociales desarrollar capacidades,Ayudar usuarios servicios sociales desarrollar capacidades,514,Asistir en servicios sociales para usuarios con discapacidades y necesidades específicas
ayudar usuarios servicios sociales gestionar competencias,ayudar usuarios servicios sociales gestionar competencias,Ayudar usuarios servicios sociales gestionar competencias,514,Asistir en servicios sociales para usuarios con discapacidades y necesidades específicas
ayudar usuarios servicios sociales necesidades comunicativas específicas,ayudar usuarios servicios sociales necesidades comunicativas específicas,Ayudar usuarios servicios sociales necesidades comunicativas específicas,514,Asistir en servicios sociales para usuarios con discapacidades y necesidades específicas
controlar procesos destilación,controlar procesos destilación,Controlar procesos destilación,515,Operar y mantener equipos de destilación
manejar sistemas deshidratación vacío,manejar sistemas deshidratación vacío,Manejar sistemas deshidratación vacío,515,Operar y mantener equipos de destilación
manejar equipos destilación,manejar equipos destilación,Manejar equipos destilación,515,Operar y mantener equipos de destilación
mantener equipos destilación,mantener equipos destilación,Mantener equipos destilación,515,Operar y mantener equipos de destilación
operar equipos destilación,operar equipos destilación,Operar equipos destilación,515,Operar y mantener equipos de destilación
garantizar seguridad procedimientos destilación,garantizar seguridad procedimientos destilación,Garantizar seguridad procedimientos destilación,515,Operar y mantener equipos de destilación
sistemas almacenamiento energía,sistemas almacenamiento comprender tipos de energía,Sistemas almacenamiento comprender tipos de energía,516,Comprender sistemas de almacenamiento y alimentación relacionados con tipos de energía
sistemas integrados alimentos energía,sistemas integrados alimentos comprender tipos de energía,Sistemas integrados alimentos comprender tipos de energía,516,Comprender sistemas de almacenamiento y alimentación relacionados con tipos de energía
gestionar caudales agua cuencas,gestionar caudales agua cuencas,Gestionar caudales agua cuencas,517,Administrar recursos hídricos en cuencas
cocinar pescado marisco,cocinar pescado marisco,Cocinar pescado marisco,518,Comercializar productos marinos
vender pescado marisco,vender pescado marisco,Vender pescado marisco,518,Comercializar productos marinos
escanear fotos,escanear fotos,Escanear fotos,519,Realizar escaneos fotográficos y de negativos
escanear negativos,escanear negativos,Escanear negativos,519,Realizar escaneos fotográficos y de negativos
realizar sesiones terapia,sesiones terapia,Realizar sesiones terapia,520,Realizar terapias psicológicas
terapia familiar,desarrollar terapia familiar,Desarrollar terapia familiar,520,Realizar terapias psicológicas
